ID,TOP_LANDCOVER
0,12
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,1
10,1
11,12
12,12
13,12
14,12
15,12
16,12
17,12
18,12
19,12
20,12
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,12
57,12
58,12
59,12
60,12
61,12
62,12
63,12
64,12
65,12
66,12
67,12
68,12
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,1
77,1
78,1
79,1
80,1
81,1
82,12
83,5
84,12
85,12
86,1
87,12
88,12
89,12
90,12
91,12
92,12
93,12
94,12
95,12
96,12
97,12
98,12
99,12
100,12
101,12
102,1
103,1
104,1
105,1
106,1
107,12
108,12
109,12
110,5
111,5
112,12
113,12
114,12
115,12
116,1
117,1
118,12
119,12
120,12
121,12
122,5
123,5
124,12
125,12
126,5
127,12
128,5
129,12
130,12
131,1
132,1
133,3
134,12
135,12
136,5
137,12
138,12
139,12
140,12
141,12
142,12
143,12
144,12
145,12
146,12
147,12
148,12
149,12
150,12
151,12
152,12
153,12
154,12
155,12
156,5
157,5
158,5
159,12
160,12
161,12
162,12
163,12
164,12
165,12
166,1
167,1
168,1
169,1
170,1
171,1
172,12
173,12
174,12
175,12
176,12
177,12
178,12
179,12
180,12
181,12
182,5
183,12
184,12
185,12
186,12
187,12
188,12
189,5
190,5
191,12
192,12
193,12
194,12
195,1
196,1
197,1
198,12
199,12
200,12
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,12
209,12
210,1
211,1
212,12
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,12
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,12
253,1
254,1
255,1
256,12
257,12
258,12
259,12
260,12
261,3
262,12
263,12
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,12
273,12
274,12
275,12
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,12
297,12
298,12
299,1
300,12
301,12
302,12
303,5
304,5
305,5
306,5
307,12
308,12
309,12
310,12
311,12
312,12
313,12
314,12
315,12
316,12
317,12
318,12
319,12
320,5
321,5
322,5
323,12
324,12
325,12
326,12
327,12
328,12
329,12
330,12
331,12
332,12
333,5
334,5
335,12
336,12
337,12
338,12
339,12
340,12
341,12
342,12
343,12
344,12
345,12
346,12
347,12
348,12
349,12
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,12
358,12
359,12
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,12
375,12
376,12
377,12
378,12
379,12
380,12
381,12
382,12
383,12
384,12
385,12
386,12
387,12
388,12
389,12
390,12
391,5
392,12
393,12
394,12
395,12
396,5
397,5
398,5
399,12
400,12
401,12
402,12
403,12
404,12
405,12
406,12
407,12
408,12
409,12
410,12
411,12
412,12
413,12
414,12
415,12
416,1
417,1
418,12
419,12
420,12
421,12
422,12
423,12
424,12
425,12
426,12
427,5
428,5
429,5
430,12
431,12
432,12
433,12
434,12
435,12
436,12
437,12
438,12
439,12
440,12
441,12
442,12
443,12
444,12
445,1
446,1
447,12
448,5
449,5
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,5
459,5
460,5
461,5
462,5
463,5
464,12
465,1
466,12
467,12
468,12
469,12
470,5
471,12
472,12
473,12
474,12
475,12
476,12
477,12
478,12
479,12
480,1
481,1
482,12
483,12
484,12
485,12
486,12
487,5
488,5
489,5
490,5
491,5
492,5
493,5
494,5
495,1
496,1
497,1
498,1
499,1
500,1
501,5
502,12
503,5
504,5
505,5
506,5
507,5
508,5
509,5
510,5
511,5
512,5
513,5
514,5
515,5
516,5
517,5
518,5
519,5
520,5
521,5
522,5
523,5
524,5
525,12
526,5
527,5
528,5
529,5
530,5
531,1
532,3
533,20
534,20
535,12
536,12
537,12
538,4
539,12
540,12
541,12
542,12
543,4
544,4
545,12
546,12
547,12
548,1
549,1
550,12
551,12
552,12
553,12
554,12
555,12
556,12
557,12
558,1
559,12
560,12
561,12
562,12
563,12
564,12
565,12
566,12
567,5
568,5
569,5
570,5
571,5
572,5
573,5
574,5
575,5
576,5
577,5
578,5
579,5
580,5
581,5
582,5
583,5
584,5
585,5
586,5
587,5
588,5
589,5
590,5
591,5
592,1
593,5
594,5
595,5
596,20
597,20
598,20
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,12
615,12
616,12
617,12
618,10
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,12
653,12
654,12
655,12
656,12
657,12
658,5
659,5
660,5
661,5
662,5
663,5
664,12
665,1
666,1
667,1
668,1
669,5
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,12
678,12
679,12
680,12
681,12
682,12
683,12
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,12
701,12
702,12
703,5
704,5
705,5
706,5
707,5
708,12
709,12
710,5
711,5
712,5
713,12
714,12
715,12
716,12
717,12
718,12
719,12
720,3
721,3
722,1
723,1
724,1
725,12
726,12
727,20
728,12
729,12
730,12
731,12
732,12
733,4
734,4
735,12
736,12
737,12
738,12
739,12
740,5
741,5
742,5
743,5
744,5
745,5
746,5
747,5
748,5
749,5
750,5
751,5
752,5
753,5
754,5
755,5
756,5
757,5
758,5
759,5
760,5
761,5
762,5
763,5
764,12
765,12
766,5
767,5
768,5
769,5
770,5
771,5
772,5
773,5
774,12
775,12
776,5
777,12
778,12
779,5
780,5
781,12
782,12
783,12
784,12
785,12
786,12
787,12
788,12
789,12
790,12
791,20
792,12
793,12
794,12
795,12
796,12
797,12
798,20
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,4
816,3
817,12
818,12
819,12
820,12
821,12
822,12
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,12
837,12
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,5
851,5
852,5
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,4
878,1
879,1
880,12
881,12
882,12
883,12
884,12
885,12
886,3
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,12
908,12
909,12
910,12
911,12
912,1
913,1
914,5
915,5
916,12
917,12
918,12
919,12
920,12
921,12
922,5
923,5
924,5
925,5
926,5
927,5
928,5
929,5
930,5
931,5
932,5
933,3
934,5
935,12
936,12
937,1
938,1
939,1
940,3
941,1
942,12
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,12
955,12
956,12
957,12
958,12
959,12
960,3
961,12
962,5
963,12
964,12
965,1
966,1
967,1
968,1
969,1
970,12
971,12
972,12
973,12
974,12
975,12
976,1
977,12
978,12
979,5
980,5
981,3
982,3
983,12
